Tumor_Type,Binary_Label,Detailed_Label,Intensity_Mean,Intensity_Std,Contrast,Homogeneity,Energy,Correlation,Dissimilarity
Glioma,0,0,26.9248046875,36.324706962332854,340.6789522173236,0.5695103401153913,0.3222464014295656,0.8716259832376195,6.946624190124133
Glioma,0,0,30.797119140625,40.38851966831075,487.71471853887874,0.5264334352266734,0.27120074555711887,0.8512816633721833,8.023196038580469
Glioma,0,0,46.2003173828125,46.8761774320545,369.7492235453794,0.36942297307489347,0.1362391247723249,0.9160153652453552,9.478070120203975
Glioma,0,0,46.66387939453125,43.416156503048185,483.73878827061117,0.3513654487112505,0.1153743364928045,0.8717036486394802,10.610636678305813
Glioma,0,0,45.1458740234375,40.83525022819101,484.9708561878624,0.3577602399742803,0.11972921715455084,0.8545190524640024,10.30188259985998
Glioma,0,0,37.608642578125,38.354593814979886,230.17802027794318,0.4077202710934352,0.15923358487073824,0.9219135064029782,7.379817361197927
Glioma,0,0,49.1500244140625,47.10448204792523,380.21744642322756,0.37613144144259303,0.13494751607595604,0.9143899171916069,9.410866224077232
Glioma,0,0,49.7103271484375,46.169862485649176,511.28281332351094,0.34665845017203956,0.104635335643365,0.8801090672784665,10.772397302608404
Glioma,0,0,51.1529541015625,46.1601010111039,540.3522569741166,0.34351124187699117,0.10385043317864281,0.8731353564842013,10.924518845132708
Glioma,0,0,42.19342041015625,36.533368511738225,414.54819710424795,0.369053577464737,0.11516452202916418,0.8444824591986523,9.274992104672444
Glioma,0,0,52.94610595703125,44.51742892122535,238.22066534369517,0.3059516569847711,0.0915433115207273,0.9397106129018635,8.567862889632599
Glioma,0,0,53.6866455078125,40.79849315032635,246.1953613008967,0.3206774786692105,0.0966015184334143,0.9255992901507861,8.340729794741303
Glioma,0,0,34.47576904296875,42.9049386836371,418.41500872852123,0.501813167564165,0.27712076331899016,0.8868474482704523,8.588379723635684
Glioma,0,0,57.6669921875,40.25344747386475,325.8102590346104,0.2703534239855727,0.054882605863488636,0.8984967442306416,9.929867203485152
Glioma,0,0,68.98577880859375,42.161224229372586,399.22854892588447,0.26130968252420245,0.05567129706112556,0.885861854848341,10.814183690868292
Glioma,0,0,59.6171875,36.196000492598024,465.69935134796344,0.26060472019760084,0.047846341833632816,0.8193456206812597,11.222466495715175
Glioma,0,0,59.920654296875,36.33447428603045,583.9422741306964,0.22488419868886644,0.04234631614204263,0.7752185279034765,12.7372280955511
Glioma,0,0,51.39080810546875,31.62736282214016,299.9718163420897,0.3053360629076004,0.06551287757772041,0.8475921107258033,8.779382488452878
Glioma,0,0,60.81396484375,40.57665765905337,411.5577526311689,0.26718173045673205,0.04878284878382157,0.8735478961969916,10.339557483803333
Glioma,0,0,38.06988525390625,40.49777628608382,352.19964306339597,0.42653787370843294,0.180018780997807,0.8929305981115743,8.708165174143803
Glioma,0,0,35.05029296875,40.14042775486899,291.6844417712722,0.45732784240916385,0.2102613031380947,0.9098502028131784,7.928137133619018
